Id,Sentiment Labels for ChatGPT Answers,Sentiment Labels for SO Answers
21560,Neutral,Neutral
21640,Neutral,Neutral
21830,Neutral,Neutral
21870,Neutral,Positive
22000,Neutral,Neutral
22140,Neutral,Neutral
22340,Positive,Positive
22500,Neutral,Neutral
22570,Neutral,Neutral
22590,Neutral,Neutral
22720,Neutral,Neutral
22880,Neutral,Neutral
22980,Neutral,Neutral
23190,Neutral,Positive
23250,Neutral,Neutral
23270,Neutral,Neutral
23310,Positive,Neutral
23370,Positive,Neutral
23490,Neutral,Neutral
23610,Neutral,Neutral
23620,Neutral,Neutral
23640,Neutral,Neutral
23770,Neutral,Neutral
23930,Neutral,Neutral
23950,Neutral,Neutral
23970,Neutral,Neutral
24040,Neutral,Positive
24130,Neutral,Neutral
24200,Neutral,Neutral
24270,Neutral,Neutral
24310,Neutral,Neutral
24450,Positive,Neutral
24470,Neutral,Neutral
24580,Neutral,Neutral
24610,Neutral,Positive
24620,Neutral,Negative
24680,Neutral,Neutral
24730,Neutral,Neutral
25200,Neutral,Neutral
25240,Neutral,Positive
25450,Neutral,Neutral
25460,Neutral,Neutral
25530,Neutral,Positive
25550,Neutral,Neutral
25730,Neutral,Neutral
25950,Neutral,Neutral
26020,Neutral,Neutral
26230,Neutral,Neutral
26260,Neutral,Neutral
26450,Neutral,Neutral
26570,Neutral,Neutral
26620,Neutral,Neutral
26670,Neutral,Positive
26760,Neutral,Neutral
26800,Neutral,Positive
26860,Neutral,Neutral
27020,Neutral,Neutral
27030,Neutral,Positive
27220,Neutral,Neutral
27240,Neutral,Neutral
27570,Neutral,Neutral
27610,Neutral,Neutral
27640,Neutral,Positive
27670,Neutral,Neutral
27700,Neutral,Neutral
27850,Positive,Neutral
27910,Neutral,Neutral
28080,Neutral,Neutral
28110,Neutral,Neutral
28150,Neutral,Neutral
28160,Neutral,Neutral
28280,Neutral,Neutral
28380,Neutral,Neutral
28530,Neutral,Neutral
28560,Neutral,Neutral
28590,Neutral,Neutral
28820,Neutral,Negative
28840,Neutral,Positive
28950,Neutral,Negative
29030,Neutral,Neutral
29040,Neutral,Neutral
29100,Neutral,Positive
29370,Positive,Neutral
29460,Positive,Neutral
29580,Positive,Neutral
29630,Positive,Neutral
29680,Positive,Neutral
29700,Positive,Neutral
29760,Positive,Neutral
29810,Positive,Neutral
29820,Positive,Neutral
29870,Positive,Negative
29890,Positive,Neutral
29980,Positive,Neutral
30080,Positive,Neutral
30160,Positive,Positive
30170,Positive,Neutral
30230,Positive,Neutral
30310,Positive,Neutral
30430,Positive,Neutral
30540,Positive,Neutral
30660,Positive,Neutral
30710,Positive,Neutral
30770,Positive,Neutral
30790,Positive,Neutral
30800,Positive,Neutral
30940,Positive,Positive
31090,Positive,Neutral
31140,Positive,Neutral
31200,Positive,Neutral
31250,Positive,Neutral
31320,Positive,Neutral
31340,Positive,Positive
31380,Positive,Neutral
31410,Positive,Neutral
31480,Positive,Neutral
31500,Positive,Neutral
31790,Positive,Neutral
31800,Positive,Neutral
31840,Positive,Neutral
31870,Positive,Neutral
31930,Positive,Neutral
32000,Positive,Neutral
32010,Positive,Positive
32020,Positive,Positive
32100,Positive,Neutral
32260,Positive,Neutral
32280,Positive,Neutral
32360,Positive,Neutral
32460,Positive,Neutral
32540,Positive,Neutral
32550,Positive,Neutral
32570,Positive,Neutral
32640,Positive,Neutral
32750,Positive,Neutral
32780,Positive,Neutral
32790,Positive,Neutral
32930,Positive,Positive
33080,Positive,Neutral
33150,Positive,Neutral
33250,Positive,Neutral
33390,Positive,Neutral
33510,Positive,Neutral
33550,Positive,Neutral
33590,Positive,Neutral
33630,Positive,Neutral
33720,Positive,Neutral
33790,Positive,Neutral
33860,Positive,Neutral
33960,Positive,Neutral
33990,Positive,Positive
34020,Positive,Neutral
34120,Positive,Neutral
34270,Positive,Neutral
34300,Positive,Negative
34390,Positive,Neutral
34490,Positive,Neutral
34510,Positive,Neutral
34570,Positive,Positive
34600,Positive,Neutral
34790,Positive,Neutral
34920,Positive,Neutral
35050,Positive,Neutral
35070,Positive,Neutral
35120,Positive,Positive
35170,Positive,Neutral
35240,Positive,Neutral
35320,Positive,Neutral
35380,Positive,Neutral
35420,Positive,Neutral
35470,Positive,Neutral
35480,Positive,Neutral
35490,Positive,Neutral
35530,Positive,Neutral
35560,Positive,Neutral
35670,Positive,Neutral
35700,Positive,Neutral
35720,Positive,Positive
35870,Positive,Neutral
35940,Positive,Positive
35950,Positive,Neutral
36030,Positive,Neutral
36260,Positive,Negative
36350,Positive,Neutral
36430,Positive,Positive
36600,Positive,Positive
36760,Positive,Neutral
36820,Positive,Neutral
36890,Positive,Neutral
37030,Positive,Neutral
37070,Positive,Neutral
37310,Positive,Neutral
37590,Positive,Neutral
37640,Positive,Neutral
37650,Positive,Neutral
37830,Positive,Neutral
37920,Positive,Neutral
38010,Positive,Neutral
38070,Positive,Neutral
38090,Positive,Neutral
38160,Positive,Neutral
38190,Positive,Positive
38210,Positive,Neutral
38280,Positive,Neutral
38370,Positive,Neutral
38510,Positive,Neutral
38670,Positive,Neutral
38680,Positive,Neutral
38820,Positive,Neutral
38870,Positive,Neutral
38890,Positive,Neutral
38920,Positive,Neutral
38940,Positive,Neutral
38960,Positive,Neutral
39070,Positive,Neutral
39240,Positive,Neutral
39770,Positive,Neutral
39780,Positive,Neutral
39910,Positive,Negative
39960,Positive,Neutral
40090,Positive,Neutral
40230,Positive,Neutral
40480,Positive,Neutral
40590,Positive,Neutral
40680,Positive,Positive
40730,Positive,Neutral
40840,Positive,Neutral
41010,Positive,Neutral
41050,Positive,Neutral
41220,Positive,Neutral
41290,Positive,Neutral
41300,Positive,Positive
41320,Positive,Neutral
41330,Positive,Neutral
41400,Positive,Neutral
41460,Positive,Neutral
41580,Positive,Negative
41590,Positive,Neutral
41630,Positive,Neutral
41640,Positive,Neutral
41970,Positive,Neutral
42070,Positive,Neutral
42150,Positive,Neutral
42200,Positive,Neutral
42460,Positive,Positive
42490,Positive,Neutral
42550,Positive,Neutral
42610,Positive,Neutral
42620,Positive,Negative
42690,Positive,Neutral
42710,Positive,Neutral
42740,Positive,Neutral
42770,Positive,Neutral
42830,Positive,Negative
42950,Positive,Neutral
42980,Positive,Neutral
42990,Positive,Neutral
43180,Positive,Neutral
43290,Positive,Neutral
43320,Positive,Neutral
43400,Positive,Positive
43490,Positive,Neutral
43500,Positive,Neutral
43580,Positive,Neutral
43870,Positive,Neutral
43890,Positive,Neutral
43920,Positive,Neutral
43940,Positive,Neutral
43960,Positive,Neutral
43970,Positive,Neutral
44080,Positive,Neutral
44100,Positive,Neutral
44190,Positive,Neutral
44220,Positive,Neutral
44260,Positive,Neutral
44270,Positive,Neutral
44350,Positive,Neutral
44470,Positive,Neutral
44630,Positive,Neutral
44660,Positive,Neutral
44760,Positive,Neutral
44780,Positive,Neutral
44940,Positive,Neutral
44980,Positive,Neutral
45030,Positive,Neutral
45180,Positive,Neutral
45230,Positive,Neutral
45340,Positive,Neutral
45400,Positive,Positive
45470,Positive,Neutral
45500,Positive,Neutral
45510,Positive,Neutral
45540,Positive,Neutral
45600,Positive,Neutral
45650,Positive,Neutral
45950,Positive,Neutral
46030,Positive,Neutral
46080,Positive,Neutral
46130,Positive,Neutral
46160,Positive,Positive
46220,Positive,Neutral
46280,Positive,Neutral
46350,Positive,Neutral
46380,Positive,Neutral
46860,Positive,Neutral
46930,Positive,Neutral
47210,Positive,Neutral
47340,Positive,Neutral
47400,Positive,Neutral
47420,Positive,Neutral
47780,Positive,Neutral
47960,Positive,Neutral
47980,Positive,Neutral
48070,Positive,Neutral
48110,Positive,Neutral
48240,Positive,Neutral
48250,Positive,Neutral
48320,Positive,Neutral
48340,Positive,Neutral
48390,Positive,Neutral
48470,Positive,Neutral
48550,Positive,Neutral
48570,Positive,Neutral
48680,Positive,Neutral
49080,Positive,Neutral
49110,Positive,Neutral
49220,Positive,Neutral
49260,Positive,Positive
49330,Positive,Neutral
49350,Positive,Neutral
49430,Positive,Neutral
49450,Positive,Neutral
49500,Positive,Neutral
49510,Positive,Neutral
49610,Positive,Neutral
49630,Positive,Neutral
49790,Positive,Neutral
49870,Positive,Positive
49890,Positive,Negative
49900,Positive,Neutral
49950,Positive,Neutral
50120,Positive,Negative
50140,Positive,Negative
50170,Positive,Neutral
50280,Positive,Neutral
50310,Positive,Neutral
50330,Positive,Neutral
50430,Positive,Negative
50450,Positive,Neutral
50470,Positive,Negative
50650,Positive,Neutral
50890,Positive,Negative
50900,Positive,Neutral
51010,Positive,Neutral
51050,Positive,Neutral
51110,Positive,Neutral
51130,Positive,Positive
51150,Positive,Negative
51180,Positive,Neutral
51210,Positive,Positive
51320,Positive,Positive
51380,Positive,Neutral
51390,Positive,Neutral
51420,Positive,Neutral
51470,Positive,Neutral
51500,Positive,Neutral
51520,Positive,Neutral
51530,Positive,Neutral
51540,Positive,Neutral
51660,Positive,Neutral
51680,Positive,Neutral
51690,Positive,Neutral
51700,Positive,Neutral
51870,Positive,Neutral
51950,Positive,Neutral
52080,Positive,Positive
52140,Positive,Neutral
52160,Positive,Neutral
52290,Positive,Neutral
52360,Positive,Neutral
52400,Positive,Positive
52430,Positive,Positive
52460,Positive,Positive
52520,Positive,Positive
52550,Positive,Positive
52600,Positive,Positive
52730,Positive,Positive
52830,Positive,Positive
52880,Positive,Positive
52950,Positive,Positive
53070,Positive,Positive
53220,Positive,Positive
53260,Positive,Positive
53290,Positive,Positive
53370,Positive,Positive
53450,Positive,Positive
53480,Positive,Positive
53610,Positive,Positive
53670,Positive,Positive
53820,Positive,Positive
54010,Positive,Positive
54050,Positive,Positive
54200,Positive,Positive
54230,Positive,Positive
54380,Positive,Positive
54440,Positive,Positive
54500,Positive,Positive
54760,Positive,Positive
54770,Positive,Positive
54790,Positive,Positive
54980,Positive,Positive
55010,Positive,Positive
55060,Positive,Positive
55130,Positive,Positive
55140,Positive,Positive
55180,Positive,Positive
55210,Positive,Positive
55270,Positive,Positive
55330,Positive,Positive
55340,Positive,Positive
55350,Positive,Positive
55360,Positive,Positive
55440,Positive,Positive
55460,Positive,Positive
55510,Positive,Positive
55670,Positive,Positive
55720,Positive,Positive
55860,Positive,Positive
56070,Positive,Positive
56090,Positive,Positive
56340,Positive,Positive
56430,Positive,Positive
56500,Positive,Positive
56630,Positive,Positive
56680,Positive,Positive
56770,Positive,Positive
56810,Positive,Positive
56820,Positive,Positive
56860,Positive,Positive
56950,Positive,Positive
57010,Positive,Positive
57020,Positive,Positive
57140,Positive,Positive
57170,Positive,Positive
57350,Positive,Positive
57380,Positive,Positive
57530,Positive,Positive
57560,Positive,Positive
57600,Positive,Positive
57730,Positive,Positive
57790,Positive,Positive
57800,Positive,Positive
57840,Positive,Positive
57910,Positive,Positive
57990,Positive,Positive
58000,Positive,Positive
58070,Positive,Positive
58190,Positive,Positive
58230,Positive,Positive
58280,Positive,Positive
58300,Positive,Positive
58340,Positive,Positive
58380,Positive,Positive
58510,Positive,Positive
58520,Positive,Positive
58540,Positive,Positive
58620,Positive,Positive
58630,Positive,Positive
58670,Positive,Positive
58730,Positive,Positive
58750,Positive,Positive
58910,Positive,Positive
58940,Positive,Positive
59000,Positive,Positive
59080,Positive,Positive
59120,Positive,Positive
59130,Positive,Positive
59180,Positive,Positive
59220,Positive,Positive
59270,Positive,Positive
59280,Positive,Positive
59380,Positive,Positive
59390,Positive,Positive
59560,Positive,Positive
59590,Positive,Positive
59670,Positive,Positive
59680,Positive,Positive
59790,Positive,Positive
59840,Positive,Positive
59850,Positive,Positive
59880,Positive,Positive
60000,Positive,Positive
60030,Positive,Positive
60070,Positive,Positive
60100,Positive,Positive
60160,Positive,Positive
60260,Positive,Positive
60290,Positive,Positive
60330,Positive,Positive
60360,Positive,Positive
60470,Positive,Positive
60570,Positive,Positive
60590,Positive,Positive
60620,Positive,Positive
60650,Positive,Positive
60680,Positive,Positive
60720,Positive,Positive
60740,Positive,Positive
60800,Positive,Positive
60820,Positive,Positive
60830,Positive,Positive
60910,Positive,Positive
60920,Positive,Positive
60950,Positive,Positive
61000,Positive,Positive
61110,Positive,Positive
61150,Positive,Positive
61180,Positive,Positive
61240,Positive,Positive
61250,Positive,Positive
61320,Positive,Positive
61400,Positive,Positive
61480,Positive,Positive
61520,Positive,Positive
61680,Positive,Positive
61750,Positive,Positive
61760,Positive,Positive
61850,Positive,Positive
61870,Positive,Positive
62110,Positive,Positive
62230,Positive,Positive
62340,Positive,Positive
62430,Positive,Positive
62490,Positive,Positive
62530,Positive,Positive
62570,Positive,Positive
62650,Positive,Positive
62720,Positive,Positive
62810,Positive,Positive
62850,Positive,Positive
62940,Positive,Positive
63030,Positive,Positive
63090,Positive,Positive
63100,Positive,Positive
63130,Positive,Positive
63150,Positive,Positive
63390,Positive,Positive
63690,Positive,Positive
63720,Positive,Positive
63790,Positive,Positive
63800,Positive,Positive
63870,Positive,Positive
63910,Positive,Positive
63930,Positive,Positive
63940,Positive,Positive
63950,Positive,Positive
63960,Positive,Positive
64000,Positive,Positive
64010,Positive,Positive
64170,Positive,Positive
64200,Positive,Positive
64360,Positive,Positive
64380,Positive,Positive
64400,Positive,Positive
64420,Positive,Positive
64570,Positive,Positive
64640,Positive,Positive
64760,Positive,Positive
64790,Positive,Positive
64820,Positive,Positive
64860,Positive,Positive
65010,Positive,Positive
65020,Positive,Positive
65060,Positive,Positive
65150,Positive,Positive
65170,Positive,Positive
65200,Positive,Positive
65250,Positive,Positive
65310,Positive,Positive
65400,Positive,Positive
65530,Positive,Positive
65800,Positive,Positive
65820,Positive,Positive
65910,Positive,Positive
65940,Positive,Positive
65970,Positive,Positive
65990,Positive,Positive
66040,Positive,Positive
66330,Positive,Positive
66420,Positive,Positive
66540,Positive,Positive
66610,Positive,Positive
66720,Positive,Positive
66730,Positive,Positive
66750,Positive,Positive
66770,Positive,Positive
66800,Positive,Positive
66810,Positive,Positive
66840,Positive,Positive
66870,Positive,Positive
66880,Positive,Positive
67000,Positive,Positive
67180,Positive,Positive
67200,Positive,Positive
67300,Positive,Positive
67370,Positive,Positive
67410,Positive,Positive
67640,Positive,Positive
67760,Positive,Positive
67780,Positive,Positive
67790,Positive,Positive
67810,Positive,Positive
67890,Positive,Positive
67980,Positive,Positive
68120,Positive,Positive
68150,Positive,Positive
68160,Positive,Positive
68340,Positive,Positive
68460,Positive,Positive
68610,Positive,Positive
68630,Positive,Positive
68640,Positive,Positive
68750,Positive,Positive
69000,Positive,Positive
69030,Positive,Positive
69060,Positive,Positive
69230,Positive,Positive
69250,Positive,Positive
69330,Positive,Positive
69430,Positive,Positive
69440,Positive,Positive
69470,Positive,Positive
69480,Positive,Positive
69700,Positive,Positive
69890,Positive,Positive
69930,Positive,Positive
70090,Positive,Positive
70140,Positive,Positive
70150,Positive,Positive
70170,Positive,Positive
70450,Positive,Positive
70460,Positive,Positive
70560,Positive,Positive
70600,Positive,Positive
70850,Positive,Positive
70880,Positive,Positive
70890,Positive,Positive
71000,Positive,Positive
71030,Positive,Positive
71100,Positive,Positive
71180,Positive,Positive
71440,Positive,Positive
71590,Positive,Positive
71720,Positive,Positive
71740,Positive,Positive
71820,Positive,Positive
71920,Positive,Positive
71980,Positive,Positive
72010,Positive,Positive
72070,Positive,Positive
72090,Positive,Positive
72220,Positive,Positive
72240,Positive,Positive
72360,Positive,Positive
72380,Positive,Positive
72410,Positive,Positive
72540,Positive,Positive
72580,Positive,Positive
73000,Positive,Positive
73110,Positive,Positive
73230,Positive,Positive
73260,Positive,Positive
73320,Positive,Positive
73380,Positive,Positive
73580,Positive,Positive
73910,Positive,Positive
73930,Positive,Positive
73950,Positive,Positive
73960,Positive,Positive
74010,Positive,Positive
74100,Positive,Positive
74190,Positive,Positive
74350,Positive,Positive
74430,Positive,Positive
74560,Positive,Positive
74570,Positive,Positive
74620,Positive,Positive
74690,Positive,Positive
74790,Positive,Positive
74880,Positive,Positive
74960,Positive,Positive
75180,Positive,Positive
75230,Positive,Positive
75270,Positive,Positive
75340,Positive,Positive
75400,Positive,Positive
75440,Positive,Positive
75500,Positive,Positive
75650,Positive,Positive
75700,Positive,Positive
75980,Positive,Positive
76080,Positive,Positive
76210,Positive,Positive
76300,Positive,Positive
76350,Positive,Positive
76440,Positive,Positive
76650,Positive,Positive
76680,Positive,Positive
76700,Positive,Positive
76760,Positive,Positive
76870,Positive,Positive
76930,Positive,Positive
77090,Positive,Positive
77280,Positive,Positive
77670,Positive,Positive
77890,Positive,Positive
77900,Positive,Positive
77960,Positive,Positive
77990,Positive,Positive
78230,Positive,Positive
78360,Positive,Positive
78380,Positive,Positive
78450,Positive,Positive
78560,Positive,Positive
78570,Positive,Positive
78590,Positive,Positive
78700,Positive,Positive
78850,Positive,Positive
78900,Positive,Positive
79210,Positive,Positive
79350,Positive,Positive
79360,Positive,Positive
79490,Positive,Positive
79780,Positive,Positive
79850,Positive,Positive
79880,Positive,Positive
79960,Positive,Positive
80120,Positive,Positive
80160,Positive,Positive
80320,Positive,Positive
80370,Positive,Positive
80470,Positive,Positive
80550,Positive,Positive
80650,Positive,Positive
80690,Positive,Positive
80770,Positive,Positive
80820,Positive,Positive
80940,Positive,Positive
80980,Positive,Positive
81150,Positive,Positive
81160,Positive,Positive
81180,Positive,Positive
81260,Positive,Positive
81280,Positive,Positive
81350,Positive,Positive
81360,Positive,Positive
81410,Positive,Positive
81520,Positive,Positive
81560,Positive,Positive
81730,Positive,Positive
81770,Positive,Positive
81830,Positive,Positive
81870,Positive,Positive
82180,Positive,Positive
82220,Positive,Positive
82340,Positive,Positive
82350,Positive,Positive
82380,Positive,Positive
82530,Positive,Positive
82550,Positive,Positive
82850,Positive,Positive
82950,Positive,Positive
83040,Positive,Positive
83050,Positive,Positive
83130,Positive,Positive
83190,Positive,Positive
83260,Positive,Positive
83320,Positive,Positive
83410,Positive,Positive
83640,Positive,Positive
83770,Positive,Positive
83840,Positive,Positive
83990,Positive,Positive
84180,Positive,Positive
84290,Positive,Positive
84310,Positive,Positive
84330,Positive,Positive
84340,Positive,Positive
84460,Positive,Positive
84680,Positive,Positive
84800,Positive,Positive
84820,Positive,Positive
84860,Positive,Positive
84880,Positive,Positive
84980,Positive,Positive
85010,Positive,Positive
85190,Positive,Positive
85230,Positive,Positive
85370,Positive,Positive
85450,Positive,Positive
85470,Positive,Positive
85500,Positive,Positive
85520,Positive,Positive
85770,Positive,Positive
85880,Positive,Positive
86030,Positive,Positive
86090,Positive,Positive
86220,Positive,Positive
86550,Positive,Positive
86570,Positive,Positive
86660,Positive,Positive
86710,Positive,Positive
86780,Positive,Positive
86790,Positive,Positive
86800,Positive,Positive
87010,Positive,Positive
87030,Positive,Positive
87090,Positive,Positive
87190,Positive,Positive
87200,Positive,Positive
87210,Positive,Positive
87220,Positive,Positive
87230,Positive,Positive
87290,Positive,Positive
87330,Positive,Positive
87350,Positive,Positive
87380,Positive,Positive
87590,Positive,Positive
87610,Positive,Positive
87760,Positive,Positive
87870,Positive,Positive
87950,Positive,Positive
87970,Positive,Positive
88030,Positive,Positive
88190,Positive,Positive
88460,Positive,Positive
88490,Positive,Positive
88570,Positive,Positive
88710,Positive,Positive
88800,Positive,Positive
88850,Positive,Positive
88950,Positive,Positive
89320,Positive,Positive
89350,Positive,Positive
89480,Positive,Positive
89490,Positive,Positive
89520,Positive,Positive
89570,Positive,Positive
89620,Positive,Positive
89650,Positive,Positive
89740,Positive,Positive
89820,Positive,Positive
89920,Positive,Positive
89950,Positive,Positive
90100,Positive,Positive
90160,Positive,Positive
90350,Positive,Positive
90360,Positive,Positive
90530,Positive,Positive
90560,Positive,Positive
90580,Positive,Positive
90920,Positive,Positive
90940,Positive,Positive
91110,Positive,Positive
91150,Positive,Positive
91160,Positive,Positive
91170,Positive,Positive
91270,Positive,Positive
91280,Positive,Positive
91350,Positive,Positive
91360,Positive,Positive
91420,Positive,Positive
91480,Positive,Positive
91710,Positive,Positive
91800,Positive,Positive
91810,Positive,Positive
91840,Positive,Positive
91890,Positive,Positive
92100,Positive,Positive
92230,Positive,Positive
92290,Positive,Positive
92490,Positive,Positive
92540,Positive,Positive
92620,Positive,Positive
92720,Positive,Positive
92820,Positive,Positive
92860,Positive,Positive
93060,Positive,Positive
93100,Positive,Positive
93150,Positive,Positive
93260,Positive,Positive
93290,Positive,Positive
93460,Positive,Positive
93570,Positive,Positive
93590,Positive,Positive
93650,Positive,Positive
93710,Positive,Positive
93720,Positive,Positive
93770,Positive,Positive
93790,Positive,Positive
93900,Positive,Positive
93930,Positive,Positive
94380,Positive,Positive
94410,Positive,Positive
94420,Positive,Positive
94490,Positive,Positive
94610,Positive,Positive
94660,Positive,Positive
94820,Positive,Positive
94860,Positive,Positive
94930,Positive,Positive
95120,Positive,Positive
95500,Positive,Positive
95510,Positive,Positive
95600,Positive,Positive
95700,Positive,Positive
95760,Positive,Positive
95800,Positive,Positive
95820,Positive,Positive
95850,Positive,Positive
95890,Positive,Positive
95910,Positive,Positive
95950,Positive,Positive
96040,Positive,Positive
96150,Positive,Positive
96160,Positive,Positive
96250,Positive,Positive
96340,Positive,Positive
96360,Positive,Positive
96390,Positive,Positive
96440,Positive,Positive
96460,Positive,Positive
96500,Positive,Positive
96700,Positive,Positive
96750,Positive,Positive
96780,Positive,Positive
96840,Positive,Positive
97050,Positive,Positive
97220,Positive,Positive
97270,Positive,Positive
97370,Positive,Positive
97480,Positive,Positive
97520,Positive,Positive
97590,Positive,Positive
97640,Positive,Positive
97800,Positive,Positive
97830,Positive,Positive
97840,Positive,Positive
97850,Positive,Positive
97920,Positive,Positive
98090,Positive,Positive
98220,Positive,Positive
98310,Positive,Positive
98320,Positive,Positive
98340,Positive,Positive
98400,Positive,Positive
98610,Positive,Positive
98650,Positive,Positive
98770,Positive,Positive
98830,Positive,Positive
98930,Positive,Positive
99020,Positive,Positive
99350,Positive,Positive
99460,Positive,Positive
99510,Positive,Positive
99520,Positive,Positive
99560,Positive,Positive
99640,Positive,Positive
99790,Positive,Positive
99830,Positive,Positive
99880,Positive,Positive
99980,Positive,Positive
100070,Positive,Positive
100170,Positive,Positive
